frame,keypoint,X,Y,Z,visible
21,LHand,[     752.52],[    -284.41],[     1174.7],1
22,Hips,[          0],[          0],[          0],0
22,RHip,[     387.56],[    -256.08],[     814.37],1
22,RKnee,[     423.55],[    -268.38],[     454.01],1
22,RAnkle,[     413.85],[    -126.37],[     143.23],1
22,RFoot,[          0],[          0],[          0],0
22,LHip,[     516.45],[    -54.153],[      848.4],1
22,LKnee,[     522.84],[    -141.44],[     461.39],1
22,LAnkle,[     408.01],[     7.6241],[     203.44],1
22,LFoot,[          0],[          0],[          0],0
22,Spine,[          0],[          0],[          0],0
22,Neck,[          0],[          0],[          0],0
22,Head,[        734],[     -403.8],[     1506.2],1
22,RShoulder,[     490.19],[    -428.43],[     1259.3],1
22,RElbow,[     433.21],[    -458.63],[     993.08],1
22,RHand,[     628.57],[    -606.68],[     785.14],1
22,LShoulder,[     776.82],[    -182.62],[     1350.5],1
22,LElbow,[     838.71],[    -97.579],[     1069.4],1
22,LHand,[     1020.7],[    -312.66],[     831.85],1
23,Hips,[          0],[          0],[          0],0
23,RHip,[     406.04],[    -270.72],[     810.66],1
23,RKnee,[     446.63],[    -281.04],[     450.98],1
23,RAnkle,[     397.31],[    -145.57],[     148.27],1
23,RFoot,[          0],[          0],[          0],0
23,LHip,[     539.28],[     -67.03],[     846.07],1
23,LKnee,[     549.59],[    -153.95],[     459.73],1
23,LAnkle,[     431.38],[    -2.6349],[     206.46],1
23,LFoot,[          0],[          0],[          0],0
23,Spine,[          0],[          0],[          0],0
23,Neck,[          0],[          0],[          0],0
23,Head,[     755.07],[    -415.82],[     1503.4],1
23,RShoulder,[     509.46],[    -444.07],[     1253.7],1
23,RElbow,[     456.14],[    -477.47],[     984.62],1
23,RHand,[     661.34],[    -627.16],[     768.44],1
23,LShoulder,[     801.59],[    -194.12],[     1348.5],1
23,LElbow,[     869.87],[    -108.05],[     1066.8],1
23,LHand,[     1061.2],[    -322.58],[      819.7],1
24,Hips,[          0],[          0],[          0],0
24,RHip,[     424.52],[    -285.37],[     806.95],1
24,RKnee,[     469.71],[    -293.69],[     447.96],1
24,RAnkle,[     380.78],[    -164.76],[     153.32],1
24,RFoot,[          0],[          0],[          0],0
24,LHip,[      562.1],[    -79.908],[     843.73],1
24,LKnee,[     576.34],[    -166.46],[     458.08],1
24,LAnkle,[     454.76],[    -12.894],[     209.48],1
24,LFoot,[          0],[          0],[          0],0
24,Spine,[          0],[          0],[          0],0
24,Neck,[          0],[          0],[          0],0
24,Head,[     776.14],[    -427.83],[     1500.7],1
24,RShoulder,[     528.73],[    -459.72],[     1248.2],1
24,RElbow,[     479.07],[    -496.32],[     976.17],1
24,RHand,[      694.1],[    -647.64],[     751.75],1
24,LShoulder,[     826.37],[    -205.63],[     1346.4],1
24,LElbow,[     901.02],[    -118.52],[     1064.2],1
24,LHand,[     1101.7],[     -332.5],[     807.55],1
25,Hips,[          0],[          0],[          0],0
25,RHip,[        443],[    -300.02],[     803.23],1
25,RKnee,[     492.79],[    -306.35],[     444.93],1
25,RAnkle,[     364.24],[    -183.96],[     158.37],1
25,RFoot,[          0],[          0],[          0],0
25,LHip,[     584.93],[    -92.785],[     841.39],1
25,LKnee,[     603.09],[    -178.97],[     456.43],1
25,LAnkle,[     478.14],[    -23.153],[     212.51],1
25,LFoot,[          0],[          0],[          0],0
25,Spine,[          0],[          0],[          0],0
25,Neck,[          0],[          0],[          0],0
25,Head,[      797.2],[    -439.85],[     1497.9],1
25,RShoulder,[     547.99],[    -475.36],[     1242.6],1
25,RElbow,[     501.99],[    -515.17],[     967.71],1
25,RHand,[     726.86],[    -668.12],[     735.05],1
25,LShoulder,[     851.14],[    -217.13],[     1344.4],1
25,LElbow,[     932.18],[    -128.99],[     1061.5],1
25,LHand,[     1142.2],[    -342.42],[      795.4],1
26,Hips,[          0],[          0],[          0],0
26,RHip,[     461.48],[    -314.67],[     799.52],1
26,RKnee,[     515.87],[    -319.01],[     441.91],1
26,RAnkle,[     347.71],[    -203.15],[     163.41],1
26,RFoot,[          0],[          0],[          0],0
26,LHip,[     607.76],[    -105.66],[     839.06],1
26,LKnee,[     629.85],[    -191.48],[     454.78],1
26,LAnkle,[     501.51],[    -33.412],[     215.53],1
26,LFoot,[          0],[          0],[          0],0
26,Spine,[          0],[          0],[          0],0
26,Neck,[          0],[          0],[          0],0
26,Head,[     818.27],[    -451.86],[     1495.2],1
26,RShoulder,[     567.26],[       -491],[     1237.1],1
26,RElbow,[     524.92],[    -534.02],[     959.25],1
26,RHand,[     759.63],[     -688.6],[     718.36],1
26,LShoulder,[     875.91],[    -228.63],[     1342.4],1
26,LElbow,[     963.34],[    -139.46],[     1058.9],1
26,LHand,[     1182.7],[    -352.34],[     783.25],1
27,Hips,[          0],[          0],[          0],0
27,RHip,[     857.91],[    -440.36],[     886.39],1
27,RKnee,[     841.84],[    -539.23],[      502.7],1
27,RAnkle,[     1095.2],[    -420.17],[     179.22],1
27,RFoot,[          0],[          0],[          0],0
27,LHip,[     852.45],[    -428.25],[     873.34],1
27,LKnee,[     915.67],[    -557.42],[     498.32],1
27,LAnkle,[     981.47],[    -542.91],[      150.6],1
27,LFoot,[          0],[          0],[          0],0
27,Spine,[          0],[          0],[          0],0
27,Neck,[          0],[          0],[          0],0
27,Head,[     1088.8],[    -516.21],[     1571.2],1
27,RShoulder,[     980.44],[    -456.36],[     1375.4],1
27,RElbow,[     1010.1],[    -369.75],[     1220.9],1
27,RHand,[       1413],[    -379.29],[     1120.3],1
27,LShoulder,[     980.14],[    -467.52],[     1366.2],1
27,LElbow,[     1144.4],[    -271.39],[     1150.9],1
27,LHand,[     1330.6],[     -271.7],[     939.14],1
28,Hips,[          0],[          0],[          0],0
28,RHip,[     894.91],[    -460.45],[     887.12],1
28,RKnee,[     879.76],[    -562.06],[      502.8],1
28,RAnkle,[     1116.1],[    -449.06],[     184.79],1
28,RFoot,[          0],[          0],[          0],0
28,LHip,[     886.15],[    -456.31],[      872.8],1
28,LKnee,[     955.11],[    -587.25],[     498.89],1
28,LAnkle,[     1027.2],[    -577.63],[     150.29],1
28,LFoot,[          0],[          0],[          0],0
28,Spine,[          0],[          0],[          0],0
28,Neck,[          0],[          0],[          0],0
28,Head,[     1122.1],[    -530.79],[     1572.3],1
28,RShoulder,[       1019],[    -469.54],[     1376.9],1
28,RElbow,[     1055.6],[    -379.63],[     1225.6],1
28,RHand,[     1476.2],[    -383.61],[     1124.1],1
28,LShoulder,[     1008.8],[    -490.17],[     1365.5],1
28,LElbow,[     1182.9],[    -287.81],[     1152.9],1
28,LHand,[     1376.4],[    -277.19],[     935.23],1
29,Hips,[          0],[          0],[          0],0
29,RHip,[     931.92],[    -480.54],[     887.84],1
29,RKnee,[     917.68],[    -584.89],[      502.9],1
29,RAnkle,[       1137],[    -477.95],[     190.36],1
29,RFoot,[          0],[          0],[          0],0
29,LHip,[     919.85],[    -484.36],[     872.26],1
29,LKnee,[     994.56],[    -617.08],[     499.45],1
29,LAnkle,[       1073],[    -612.36],[     149.98],1
29,LFoot,[          0],[          0],[          0],0
29,Spine,[          0],[          0],[          0],0
29,Neck,[          0],[          0],[          0],0
29,Head,[     1155.4],[    -545.37],[     1573.4],1
29,RShoulder,[     1057.6],[    -482.72],[     1378.4],1
29,RElbow,[     1101.2],[     -389.5],[     1230.4],1
29,RHand,[     1539.4],[    -387.93],[     1127.9],1
29,LShoulder,[     1037.5],[    -512.81],[     1364.7],1
29,LElbow,[     1221.4],[    -304.24],[       1155],1
29,LHand,[     1422.2],[    -282.67],[     931.31],1
30,Hips,[          0],[          0],[          0],0
30,RHip,[     968.92],[    -500.63],[     888.57],1
30,RKnee,[     955.61],[    -607.72],[     503.01],1
30,RAnkle,[     1157.9],[    -506.84],[     195.94],1
30,RFoot,[          0],[          0],[          0],0
30,LHip,[     953.55],[    -512.42],[     871.72],1
30,LKnee,[       1034],[    -646.91],[     500.01],1
30,LAnkle,[     1118.7],[    -647.08],[     149.67],1
30,LFoot,[          0],[          0],[          0],0
