frame,keypoint,X,Y,Z,visible
45,RHip,[12327.53570852],[215.03777939],[872.23238271],1
45,RKnee,[12255.58308511],[173.64957042],[456.06538944],1
45,RAnkle,[12418.22587138],[-12.61015629],[112.3113113],1
45,RFoot,[12200.37334849],[-10.69342185],[22.3061735],1
45,LHip,[12265.28340232],[-98.74055019],[905.22327313],1
45,LKnee,[12221.12476057],[-18.31206604],[449.8520339],1
45,LAnkle,[12462.89472096],[-151.71967091],[319.42439304],1
45,LFoot,[12488.13454996],[-216.20085265],[164.88242356],1
45,Spine,[12237.25847462],[99.8303338],[1175.01309915],1
45,Neck,[12122.05852522],[195.97734858],[1414.08247208],1
45,Head,[12025.23697195],[265.26052013],[1564.87915186],1
45,RShoulder,[12247.80969034],[377.8949661],[1323.42546579],1
45,RElbow,[12124.56803902],[480.08681676],[1003.31212122],1
45,RHand,[11831.34539957],[569.09069979],[997.57184088],1
45,LShoulder,[12051.96791439],[-15.86294667],[1409.96031501],1
45,LElbow,[11975.75226522],[-187.47457107],[1100.73938763],1
45,LHand,[11881.13433681],[52.63337308],[965.75691638],1
46,Hips,[12301.42572695],[67.20141147],[894.81260844],1
46,RHip,[12323.73780226],[240.32501761],[866.47446453],1
46,RKnee,[12246.47351965],[194.42017065],[450.79094328],1
46,RAnkle,[12412.53504566],[4.48354639],[108.26623275],1
46,RFoot,[12185.26831657],[3.51952983],[19.07623938],1
46,LHip,[12267.3577624],[-86.17522288],[902.06052948],1
46,LKnee,[12218.54611054],[-5.02992273],[445.96098027],1
46,LAnkle,[12465.5693241],[-138.49196377],[323.58609685],1
46,LFoot,[12490.49084715],[-207.38933279],[167.96280736],1
46,Spine,[12235.89665873],[119.05460988],[1170.16481632],1
46,Neck,[12119.21318312],[217.22383738],[1407.67302352],1
46,Head,[12021.33411673],[288.97052251],[1558.21909084],1
46,RShoulder,[12244.65715739],[406.84548784],[1313.61435206],1
46,RElbow,[12113.73456955],[509.1811028],[980.69990351],1
46,RHand,[11814.75346492],[599.08487345],[968.39490369],1
46,LShoulder,[12050.98908319],[-2.82316429],[1405.39690746],1
46,LElbow,[11974.64372924],[-185.72882483],[1088.74302762],1
46,LHand,[11872.28780045],[60.75233784],[943.5651081],1
