frame,keypoint,X,Y,Z,visible
12,RHip,[     148.36],[     55.988],[     879.93],1
12,RKnee,[     227.71],[     -101.5],[     525.79],1
12,RAnkle,[     223.99],[     -62.25],[      130.3],1
12,RFoot,[          0],[          0],[          0],0
12,LHip,[     114.52],[     158.17],[     862.03],1
12,LKnee,[    0.86439],[     161.91],[     493.46],1
12,LAnkle,[    -241.42],[     199.76],[     92.583],1
12,LFoot,[          0],[          0],[          0],0
12,Spine,[          0],[          0],[          0],0
12,Neck,[          0],[          0],[          0],0
12,Head,[     518.89],[    -183.59],[     1504.5],1
12,RShoulder,[     209.75],[    -161.89],[     1375.8],1
12,RElbow,[    -39.567],[    -143.23],[     1161.9],1
12,RHand,[     67.174],[     -318.5],[     1098.1],1
12,LShoulder,[     391.99],[     28.422],[     1350.4],1
12,LElbow,[     420.53],[     24.627],[     1065.4],1
12,LHand,[     304.51],[     -207.1],[     1004.6],1
13,Hips,[          0],[          0],[          0],0
13,RHip,[     162.37],[     55.459],[     875.05],1
13,RKnee,[     227.71],[     -101.5],[     525.79],1
13,RAnkle,[     223.99],[     -62.25],[      130.3],1
13,RFoot,[          0],[          0],[          0],0
13,LHip,[     115.86],[     155.26],[     855.88],1
13,LKnee,[    0.86439],[     161.91],[     493.46],1
13,LAnkle,[    -241.42],[     199.76],[     92.583],1
13,LFoot,[          0],[          0],[          0],0
13,Spine,[          0],[          0],[          0],0
13,Neck,[          0],[          0],[          0],0
13,Head,[     526.14],[    -180.89],[     1503.8],1
13,RShoulder,[      216.9],[    -165.97],[     1375.9],1
13,RElbow,[    -35.543],[    -143.25],[     1159.9],1
13,RHand,[     65.945],[    -331.22],[     1094.1],1
13,LShoulder,[     396.99],[     25.841],[     1346.7],1
13,LElbow,[     418.89],[     16.022],[     1056.9],1
13,LHand,[     281.53],[    -222.96],[     988.47],1
14,Hips,[          0],[          0],[          0],0
14,RHip,[     176.39],[     54.931],[     870.16],1
14,RKnee,[     227.71],[     -101.5],[     525.79],1
14,RAnkle,[     223.99],[     -62.25],[      130.3],1
14,RFoot,[          0],[          0],[          0],0
14,LHip,[      117.2],[     152.35],[     849.72],1
14,LKnee,[    0.86439],[     161.91],[     493.46],1
14,LAnkle,[    -241.42],[     199.76],[     92.583],1
14,LFoot,[          0],[          0],[          0],0
14,Spine,[          0],[          0],[          0],0
14,Neck,[          0],[          0],[          0],0
14,Head,[     533.38],[    -178.19],[     1503.1],1
14,RShoulder,[     224.05],[    -170.05],[       1376],1
14,RElbow,[    -31.518],[    -143.28],[       1158],1
14,RHand,[     64.716],[    -343.94],[     1090.1],1
14,LShoulder,[     401.99],[     23.261],[       1343],1
14,LElbow,[     417.25],[     7.4163],[     1048.3],1
14,LHand,[     258.56],[    -238.81],[      972.3],1
15,Hips,[          0],[          0],[          0],0
15,RHip,[     190.41],[     54.403],[     865.28],1
15,RKnee,[     227.71],[     -101.5],[     525.79],1
15,RAnkle,[     223.99],[     -62.25],[      130.3],1
15,RFoot,[          0],[          0],[          0],0
15,LHip,[     118.54],[     149.44],[     843.57],1
15,LKnee,[    0.86439],[     161.91],[     493.46],1
15,LAnkle,[    -241.42],[     199.76],[     92.583],1
15,LFoot,[          0],[          0],[          0],0
15,Spine,[          0],[          0],[          0],0
15,Neck,[          0],[          0],[          0],0
15,Head,[     540.63],[    -175.49],[     1502.3],1
15,RShoulder,[     231.19],[    -174.13],[     1376.1],1
15,RElbow,[    -27.494],[    -143.31],[     1156.1],1
15,RHand,[     63.488],[    -356.67],[       1086],1
15,LShoulder,[     406.99],[      20.68],[     1339.3],1
15,LElbow,[     415.61],[    -1.1889],[     1039.8],1
15,LHand,[     235.59],[    -254.67],[     956.14],1
16,Hips,[          0],[          0],[          0],0
16,RHip,[     204.42],[     53.875],[      860.4],1
16,RKnee,[     227.71],[     -101.5],[     525.79],1
16,RAnkle,[     223.99],[     -62.25],[      130.3],1
16,RFoot,[          0],[          0],[          0],0
16,LHip,[     119.88],[     146.53],[     837.41],1
16,LKnee,[    0.86439],[     161.91],[     493.46],1
16,LAnkle,[    -241.42],[     199.76],[     92.583],1
16,LFoot,[          0],[          0],[          0],0
16,Spine,[          0],[          0],[          0],0
16,Neck,[          0],[          0],[          0],0
16,Head,[     547.87],[    -172.79],[     1501.6],1
16,RShoulder,[     238.34],[    -178.21],[     1376.2],1
16,RElbow,[    -23.469],[    -143.33],[     1154.2],1
16,RHand,[     62.259],[    -369.39],[       1082],1
